TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.3400002,,-0.004812126,0.1172777,0.09912075,-0.01435725,-0.00343969,0.008101841,-0.01042347,-2.312073,2.423828,998.9348,609.4143,64.45526886,63.88246155,-0.03771171,-0.1332007,0.9903713,-1.126648,9.332167,-26.83053,988.4643,612.1365,-0.049091,-0.1376039,0.9892666,31.09307,8.995686,Infinity,30.40383,7.887197,-16.03881,1.60454866,9.82E+58,9.82E+58,1009.405,606.6921,-0.02703772,-0.1290469,0.9912674,-33.335,9.680706,Infinity,-33.45154,9.001229,-17.5284,1.665179103,Infinity,Infinity
0.3500023,,-0.02962007,-0.06649547,0.04425501,-0.01642672,-0.006668041,0.01019571,-0.005027536,-2.304382,2.42038,999.1157,610.0859,64.4563446,63.91248703,-0.03828569,-0.1347808,0.9901356,-1.124344,9.336027,-26.84078,987.8799,612.0226,-0.0485204,-0.1374031,0.9893253,31.09363,8.994543,Infinity,30.41734,7.879924,-16.09047,1.609350347,9.33E+58,9.33E+58,1010.351,608.1492,-0.02795521,-0.1315635,0.9909121,-33.3359,9.681632,Infinity,-33.46936,8.990998,-17.52618,1.652510248,Infinity,Infinity
0.3600006,,-0.08540263,0.01183796,0.07985134,-0.02064198,-0.006653866,0.01019877,0.004963059,-2.290436,2.413849,997.749,610.196,64.45756531,63.88591766,-0.03656057,-0.134729,0.9902078,-1.128291,9.330242,-26.85079,987.6646,612.3844,-0.04830438,-0.1380133,0.9892516,31.09407,8.992978,Infinity,30.41819,7.866653,-16.1386,1.57252847,8.87E+58,8.87E+58,1007.833,608.0076,-0.02547726,-0.1313284,0.9910104,-33.33706,9.682412,Infinity,-33.44271,8.997757,-17.52292,1.638903099,Infinity,Infinity
0.3700027,,0.03440977,0.01281381,0.01166602,-0.01642672,-0.001368041,0.01019571,0.01394653,-2.272339,2.407806,998.0885,609.0397,64.45889282,63.89432907,-0.03732371,-0.1321814,0.9905226,-1.132023,9.321099,-26.86025,988.1407,611.2248,-0.04878246,-0.1360003,0.9895065,31.09439,8.990667,Infinity,30.41135,7.871656,-16.16206,1.551295778,8.42E+58,8.42E+58,1008.036,606.8545,-0.02568181,-0.1293412,0.9912668,-33.33843,9.683064,Infinity,-33.45827,9.018655,-17.51927,1.642249861,Infinity,Infinity
0.3800011,,-0.03147152,0.0536438,0.06375583,-0.02608779,-0.00661134,0.01130798,0.01394653,-2.272339,2.407806,998.0885,609.0397,64.45889282,63.89432907,-0.03732371,-0.1321814,0.9905226,-1.132023,9.321099,-26.86025,988.1407,611.2248,-0.04878246,-0.1360003,0.9895065,31.09439,8.990667,Infinity,30.41135,7.871656,-16.16206,1.551295778,8.42E+58,8.42E+58,1008.036,606.8545,-0.02568181,-0.1293412,0.9912668,-33.33843,9.683064,Infinity,-33.45827,9.018655,-17.51927,1.642249861,Infinity,Infinity
0.3900032,,-0.00453191,0.1367419,-0.003827537,-0.0239,-0.0013,0.01231043,0.02166748,-2.25531,2.405273,998.5793,609.6857,64.45960236,63.92376328,-0.03783049,-0.1340472,0.9902526,-1.134802,9.306803,-26.87888,986.9083,611.3607,-0.04756526,-0.1362146,0.9895365,31.09431,8.987385,Infinity,30.41869,7.842947,-16.18592,1.537666464,8.00E+58,8.00E+58,1010.25,608.0109,-0.0278504,-0.1313184,0.9909477,-33.33962,9.68334,Infinity,-33.48098,8.983807,-17.51932,1.589607427,Infinity,Infinity
0.4000015,,-0.05385302,0.06954572,-0.02034527,-0.01742672,0.003931959,0.006995705,0.02883911,-2.238892,2.405273,998.5793,609.6857,64.45960236,63.92376328,-0.03783049,-0.1340472,0.9902526,-1.134802,9.306803,-26.87888,986.9083,611.3607,-0.04756526,-0.1362146,0.9895365,31.09431,8.987385,Infinity,30.41869,7.842947,-16.18592,1.537666464,8.00E+58,8.00E+58,1010.25,608.0109,-0.0278504,-0.1313184,0.9909477,-33.33962,9.68334,Infinity,-33.48098,8.983807,-17.51932,1.589607427,Infinity,Infinity
0.4099998,,-0.03668858,0.1104839,0.05795589,-0.02065725,0.00826031,0.01130184,0.03100586,-2.229156,2.408569,999.0831,608.7026,64.45995331,63.88763428,-0.03833841,-0.1316473,0.990555,-1.138928,9.302393,-26.89488,988.335,609.7985,-0.04897763,-0.1334927,0.9898375,31.09386,8.983116,Infinity,30.39141,7.84532,-16.20632,1.503093663,7.60E+58,7.60E+58,1009.831,607.6067,-0.02744132,-0.1306364,0.9910502,-33.34081,9.684312,Infinity,-33.47218,9.010639,-17.51533,1.576359825,Infinity,Infinity
0.420002,,-0.03668858,0.1104839,0.05795589,-0.02065725,0.00826031,0.01130184,0.03100586,-2.229156,2.408569,999.0831,608.7026,64.45995331,63.88763428,-0.03833841,-0.1316473,0.990555,-1.138928,9.302393,-26.89488,988.335,609.7985,-0.04897763,-0.1334927,0.9898375,31.09386,8.983116,Infinity,30.39141,7.84532,-16.20632,1.503093663,7.60E+58,7.60E+58,1009.831,607.6067,-0.02744132,-0.1306364,0.9910502,-33.34081,9.684312,Infinity,-33.47218,9.010639,-17.51533,1.576359825,Infinity,Infinity
0.4300003,,-0.04228663,0.09563971,0.04456751,-0.0133,0.003,0.00811043,0.04019165,-2.214569,2.414063,998.6464,609.022,64.46038818,63.86561966,-0.03767219,-0.1327587,0.9904322,-1.138119,9.302148,-26.90968,988.9923,609.2411,-0.04962873,-0.1325178,0.9899369,31.09354,8.978789,Infinity,30.38942,7.844648,-16.24165,1.496847884,7.22E+58,7.22E+58,1008.301,608.8029,-0.02592696,-0.1327062,0.9908153,-33.34195,9.685482,Infinity,-33.45323,8.989621,-17.51542,1.555600178,Infinity,Infinity
